dateTime,stationReference,latitude,longitude,parameter,qualifier,unitName,value
2022-11-24T21:15:00Z,2427TH,51.29741,-0.739058,flow,,m3/s,0.06
2022-11-24T21:15:00Z,2427TH,51.29741,-0.739058,level,Stage,mASD,1.012
2022-11-24T21:30:00Z,022999,55.12861,-1.494986,level,Tidal Level,mAOD,-1.65
2022-11-24T21:30:00Z,5080TH,51.814817,0.020302,level,Stage,mASD,0.217
2022-11-24T17:15:00Z,43212,50.763832,-1.84203,level,Stage,m,1.11
2022-11-24T21:30:00Z,0278TH,51.673897,-1.934146,level,Stage,mASD,0.841
2022-11-24T21:30:00Z,2091,52.284932,-1.562658,level,Stage,mASD,1.73
2022-11-24T21:30:00Z,E15350,51.445998,0.158543,level,Stage,mASD,0.249
2022-11-24T21:30:00Z,E3966,51.296693,1.105983,level,Stage,mASD,0.546
2022-11-24T21:30:00Z,022010,55.038816,-1.859136,level,Stage,m,0.209
2022-11-24T21:30:00Z,L1209,53.690792,-2.101414,level,Stage,m,0.16
2022-11-24T21:30:00Z,45130,50.733158,-3.437637,level,Stage,m,1.89
2022-11-24T21:30:00Z,690510,53.499526,-2.271756,level,Stage,m,1.365
2022-11-24T21:30:00Z,2054,52.405995,-2.80328,level,Stage,mASD,1.933
2022-11-24T21:30:00Z,2648,51.999754,-1.952083,level,Stage,mASD,0.691
2022-11-24T21:30:00Z,0001,51.497504,0.052616,level,Tidal Level,mAOD,-1.615
2022-11-24T14:00:00Z,0911TH,51.719421,-1.588977,level,Stage,mASD,0.789
2022-11-24T21:30:00Z,E71739,50.781775,0.057004,level,Tidal Level,mAOD,2.079
2022-11-24T21:30:00Z,E71724,50.78178,0.05703,level,Tidal Level,m,5.599
2022-11-24T21:30:00Z,2017,51.909034,-2.32673,level,Stage,mASD,2.069
2022-11-24T21:30:00Z,2420_w2TH,51.381826,-0.966655,level,Stage,mASD,0.272
2022-11-24T21:30:04Z,3235TH,51.186743,-0.163694,level,Stage,mASD,3.302
2022-11-24T21:30:00Z,F2108,54.109995,-1.78507,level,Stage,m,0.424
2022-11-24T21:30:00Z,700311,53.588789,-2.773605,level,Stage,m,0.697
2022-11-24T17:15:00Z,44109,50.653725,-2.473258,level,Stage,m,0.273
2022-11-24T18:00:00Z,2513,51.753386,-2.322244,level,Stage,mASD,0.468
2022-11-24T21:30:00Z,1484TH,51.895439,-1.13585,level,Stage,mASD,0.631
2022-11-24T21:30:00Z,2020TH,51.573061,-1.233747,level,Downstream Stage,mASD,-0.332
2022-11-24T21:30:00Z,2020TH,51.573061,-1.233747,level,Stage,mASD,0.104
2022-11-24T21:30:00Z,2904TH,51.382892,-0.458071,level,Downstream Stage,mASD,3.022
2022-11-24T21:30:00Z,2904TH,51.382892,-0.458071,level,Stage,mASD,0.212
2022-11-24T21:30:00Z,E12401,50.953881,-1.370394,level,Stage,mASD,0.217
2022-11-24T21:30:00Z,4195,52.553447,-1.171951,level,Stage,mASD,0.291
2022-11-24T21:30:00Z,1208TH,51.988876,-1.697906,level,Stage,mASD,0.498
2022-11-24T21:30:00Z,1290_w1TH,51.786053,-1.351198,level,Stage,mASD,0.407
2022-11-24T15:45:00Z,E22897,51.720457,0.539834,level,Stage,m,0.128
2022-11-24T21:15:00Z,L2008,53.905078,-1.630095,level,Stage,m,0.827
2022-11-24T21:30:00Z,1238TH,51.861678,-1.594363,level,Stage,mASD,1.534
2022-11-24T21:30:00Z,51112,51.207333,-3.596358,level,Stage,m,0.054
2022-11-24T21:00:00Z,L0215,53.302721,-1.472506,level,Stage,m,0.201
2022-11-24T21:30:00Z,E1890,51.1015,0.392574,level,Stage,mASD,0.772
2022-11-24T17:45:00Z,E2699,52.377799,-0.720415,level,Stage,m,0.348
2022-11-24T21:30:00Z,L0809,53.58418,-1.52866,level,Stage,m,0.582
2022-11-24T21:30:00Z,4158,52.648317,-1.215391,level,Stage,mASD,1.512
2022-11-24T21:30:00Z,3079TH,51.220824,-0.569459,level,Stage,mASD,0.159
2022-11-24T21:30:00Z,4060,53.024857,-1.028024,level,Stage,mASD,0.295
2022-11-24T21:30:00Z,751007,54.604556,-3.159541,level,Stage,m,1.116
2022-11-24T21:30:00Z,2232TH,51.436872,-1.577706,level,Downstream Stage,mASD,-0.091
2022-11-24T21:30:00Z,2232TH,51.436872,-1.577706,level,Stage,mASD,0.011
2022-11-24T17:45:00Z,E2304,52.68874,-0.412477,level,Stage,m,0.293
2022-11-24T21:30:00Z,49152,50.471699,-4.718637,level,Stage,m,0.076
2022-11-24T18:00:00Z,E21657,52.166195,-0.309298,level,Stage,m,0.676
2022-11-24T17:15:00Z,43115,51.302514,-1.809882,level,Stage,m,0.299
2022-11-24T21:30:00Z,4023,53.223665,-1.727504,level,Stage,mASD,0.659
2022-11-24T21:30:00Z,0569TH,51.663588,-1.749677,level,Stage,mASD,3.548
2022-11-24T21:30:00Z,690450,53.613958,-2.427881,level,Stage,m,0.351
2022-11-24T21:30:00Z,1503TH,51.670388,-1.268257,level,Downstream Stage,mASD,2.165
2022-11-24T21:30:00Z,1503TH,51.670388,-1.268257,level,Stage,mASD,0.081
2022-11-24T21:30:00Z,L3934,54.574258,-1.316493,level,Stage,m,0.442
2022-11-24T21:00:00Z,46115,50.5162,-3.757538,level,Stage,mASD,0.377
2022-11-24T21:30:00Z,F2581,54.215889,-0.969759,level,Stage,m,0.558
2022-11-24T21:30:00Z,E4222,52.94938,-0.702125,level,Stage,m,0.327
2022-11-24T21:30:00Z,L0303,53.390594,-1.361999,level,Stage,mAOD,26.976
2022-11-24T17:45:00Z,E4482,52.755941,-0.534509,level,Stage,mASD,0.201
2022-11-23T10:15:00Z,49115,50.465604,-4.55955,level,Stage,m,0.463
2022-11-24T21:30:00Z,E42124,52.230338,-0.897436,level,Stage,mASD,1.154
2022-11-24T21:30:00Z,2891TH,51.509078,-0.47713,level,Stage,mASD,0.819
2022-11-24T21:15:00Z,E60101,52.236542,0.176925,level,Stage,mASD,0.223
2022-11-24T21:30:00Z,764010,54.879957,-2.917974,level,Stage,m,0.619
2022-11-24T21:30:00Z,3010TH,51.149557,-0.976568,level,Crest Tapping,mASD,-0.006
2022-11-24T21:30:00Z,3010TH,51.149557,-0.976568,level,Stage,mASD,0.072
2022-11-24T21:30:00Z,753050,54.650538,-3.52206,level,Stage,m,0.869
2022-11-24T21:30:00Z,E6140,50.950221,0.630976,level,Stage,mASD,0.479
2022-11-24T21:15:00Z,L2221,54.090598,-1.497502,level,Stage,m,0.214
2022-11-24T21:30:00Z,3040TH,51.181979,-0.750222,level,Stage,mASD,0.429
2022-11-24T21:30:00Z,E9140,50.882836,-0.306828,level,Stage,mASD,1.063
2022-11-24T21:30:00Z,1745TH,51.632965,-1.505814,level,Stage,mASD,0.365
2022-11-24T21:30:00Z,761706,54.628797,-2.837846,level,Stage,m,0.608
2022-11-24T17:45:00Z,E1310,52.493886,-0.649292,level,Stage,mASD,0.347
2022-11-24T21:30:00Z,E2119,52.246264,-0.779863,level,Stage,mASD,0.675
2022-11-24T21:30:00Z,022001,55.333528,-1.631891,level,Stage,m,0.694
2022-11-24T21:30:00Z,0530TH,51.667039,-1.816893,level,Downstream Stage,mASD,0.947
2022-11-24T21:30:00Z,0530TH,51.667039,-1.816893,level,Stage,mASD,0.924
2022-11-24T21:05:00Z,4098,53.591975,-0.738178,level,Stage,mASD,3.567
2022-11-24T21:15:00Z,E24829,52.249147,-0.485347,level,Stage,mASD,0.913
2022-11-24T21:00:00Z,45121,51.021855,-3.53136,level,Stage,m,0.949
2022-11-24T20:45:00Z,E21968,52.320879,-0.002271,level,Stage,mASD,0.912
2022-11-24T21:00:00Z,2639,52.394857,-3.160345,level,Stage,mASD,0.617
2022-11-24T21:30:00Z,024017,54.82499,-1.744671,level,Stage,m,0.42
2022-11-24T06:00:00Z,E1533,52.526819,-0.428685,level,Stage,mASD,0.405
2022-11-24T21:30:00Z,710315,53.877796,-2.387601,level,Stage,m,0.402
2022-11-24T16:00:00Z,48121,50.340195,-5.15746,level,Stage,m,0.451
2022-11-24T21:30:00Z,4182TH,51.394765,-0.097302,level,Stage,mASD,1.037
2022-11-24T17:15:00Z,47137,50.823657,-4.438698,level,Stage,m,1.336
2022-11-24T21:30:00Z,2008,52.313207,-2.591539,level,Stage,mASD,1.911
2022-11-24T21:00:00Z,50193,51.023856,-4.236897,level,Stage,m,0.57
2022-11-24T18:00:00Z,2268,51.85196,-2.18652,level,Stage,mASD,0.624
2022-11-24T21:15:00Z,L24001,53.782406,-1.057504,level,Stage,mAOD,4.197
2022-11-24T21:30:00Z,2170,52.754258,-2.534083,level,Stage,mASD,1.661
2022-11-24T21:30:00Z,L1821,53.707591,-1.056828,level,Stage,m,0.613
2022-11-24T21:30:00Z,762505,54.890119,-2.830743,level,Stage,m,1.315
2022-11-24T20:30:00Z,E24323,51.852475,0.963271,level,Tidal Level,mAOD,-0.455
2022-11-24T21:30:00Z,4186,53.003454,-1.310004,level,Stage,mASD,2.695
2022-11-24T21:30:00Z,2133,52.126787,-2.056054,level,Stage,mASD,0.814
2022-11-24T21:30:00Z,51103,51.213871,-3.474382,level,Tidal Level,mAOD,1.172
2022-11-24T21:30:00Z,L0206,53.233706,-1.418671,level,Stage,m,1.436
2022-11-24T21:30:00Z,3635TH,51.541775,-0.418198,level,Stage,mASD,0.783
2022-11-24T16:00:00Z,50119,50.845457,-3.886253,level,Stage,m,0.605
2022-11-24T05:30:00Z,L3206,53.751801,-0.333208,level,Stage,mAOD,0.886
2022-11-24T08:45:00Z,023023,54.952174,-1.959366,level,Stage,m,1.203
2022-11-24T21:30:00Z,711610,53.855184,-2.451318,level,Stage,m,0.786
2022-11-24T21:30:00Z,53119,51.240687,-2.349087,level,Stage,m,0.508
2022-11-24T21:30:00Z,5112TH,51.965459,0.146003,level,Stage,mASD,0.523
2022-11-24T21:00:00Z,45159,50.989182,-3.484134,level,Stage,m,0.518
2022-11-24T21:30:00Z,43106,50.730338,-1.773396,level,Tidal Level,mAOD,1.254
2022-11-24T21:30:00Z,4014,52.791503,-2.038506,level,Stage,mASD,2.006
2022-11-24T21:30:00Z,5172TH,51.795404,0.134177,level,Stage,mASD,1.072
2022-11-24T21:30:00Z,2221,51.881479,-2.206851,level,Stage,mASD,0.886
2022-11-24T21:30:00Z,2602TH,51.532713,-0.699466,level,Downstream Stage,mASD,2.934
2022-11-24T21:30:00Z,2602TH,51.532713,-0.699466,level,Stage,mASD,0.2
2022-11-24T04:30:00Z,3115TH,51.430935,-0.496618,level,Stage,mASD,0.514
2022-11-24T21:30:00Z,L12010,53.732082,-2.153506,level,Stage,m,0.497
2022-11-24T17:15:00Z,43231,50.768235,-1.876842,level,Stage,m,2.578
2022-11-24T06:00:00Z,E1696,53.574576,-0.108253,level,Stage,mASD,0.399
2022-11-24T21:30:00Z,E71039,54.489967,-0.614597,level,Tidal Level,mAOD,-1.567
2022-11-24T21:30:00Z,E71024,54.49,-0.61461,level,Tidal Level,m,1.433
2022-11-24T21:30:00Z,L2806,53.918088,-0.929308,level,Downstream Stage,mAOD,6.345
2022-11-24T21:30:00Z,L2806,53.918088,-0.929308,level,Stage,mAOD,6.407
2022-11-24T21:30:00Z,713120,53.731625,-2.490617,level,Stage,m,0.534
2022-11-24T21:30:00Z,52125,51.053328,-2.891431,level,Stage,mAOD,7.867
2022-11-24T18:00:00Z,2814TH,51.719476,-0.289861,level,Stage,mASD,1.194
2022-11-24T21:30:00Z,761103,54.536126,-2.762643,level,Stage,m,0.1
