stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
2226,Slad Road,51.747599,-2.214291,1.175,0.11,0.43,0.13
2227,Tenbury,52.309779,-2.59384,3.54,0.08,2,0.11
2228,Sutton Bridge,52.298087,-2.55805,4.231,0.45,3,0.47000000000000003
2230TH,Knighton Main,51.437409,-1.576981,0.847,0.044,0.504,0.077
2232TH,Knighton Side,51.436872,-1.577706,0.653,-0.053,0.504,0
2239TH,Hungerford Dun,51.414788,-1.539372,0.307,0.034,0.19,0.053
2241TH,Hungerford Shalbourne,51.412847,-1.526019,1.078,0.031,0.6000000000000001,0.043000000000000003
2250TH,Newbury,51.401605,-1.323874,1.49,0.742,1.35,0.9410000000000001
2251TH,Lambourn,51.508084,-1.530219,1.43,0.653,1.2,0.7000000000000001
2254TH,Eastbury Flood Control Structure,51.497183,-1.511619,2.129,0.9420000000000001,2.65,0.9
2255,Bosbury,52.08804,-2.446839,1.911,0.01,0.8,0.03
2258,The Causeway,51.824551,-2.297854,2.286,0.098,0.542,0.162
2261,Zoons Court,51.868901,-2.196147,2.426,0.127,0.844,0.168
2262,Zoons Court Flood Storage,51.868695,-2.195623,2.13,0.106,2.5,0.11900000000000001
2264TH,Bagnor,51.422436,-1.350461,0.545,0.032,0.2,0.041
2265,Farley Bridge LVL,52.664358,-2.905911,,,,
2267,Puxton,52.394519,-2.253581,4.431,0.406,2.3,0.45
2268,Kingscroft Road,51.85196,-2.18652,1.7269999999999999,0.301,2,0.02
2269,Shepherd Road,51.835524,-2.26623,1.03,0.067,1,0.055
2270,Field Court Drive,51.819013,-2.28698,0.934,0,1,0
2270_w1TH,Shaw,51.411884,-1.321048,2.1,1.256,2.044,1.29
2272,Armscroft Place,51.863183,-2.221361,1.194,0,1.5,0.005
2273,India Road,51.856617,-2.227456,0.717,0.114,1,0.14300000000000002
2275,Egypt Mill,51.697286,-2.218553,0.638,0.11,1.5,0.273
2275TH,Kingsclere,51.325621,-1.249358,0.357,0.059000000000000004,0.43,0.08
2276,Sandford Park LVL (Chelt),51.893887,-2.068696,,,,
2277,Cheyney Close,51.848593,-2.220433,1.072,-0.009000000000000001,1.5,0.012
2279TH,Brimpton,51.379146,-1.185549,1.819,0.033,1.34,0.081
2293TH,Beech Hill,51.385195,-1.002649,2.2439999999999998,0.5640000000000001,2,0.619
2298TH,Blakes Lock,51.456172,-0.954614,0.802,-0.5,0.2,0
2301TH,Sonning Lock,51.473138,-0.917727,1.05,-0.1,0.257,0.068
2302TH,Shiplake Lock,51.501042,-0.886307,0.967,-0.18,0.30000000000000004,0.006
2320,Lydbrook,51.85366,-2.578653,7.551,0.32,4,0.42
2321SO,Rainfall station,50.83729,-0.377415,,,,
237740TP,Rainfall station,51.600133,0.258985,,,,
238605TP,Rainfall station,51.722932,0.136235,,,,
238777TP,Rainfall station,51.736595,0.223782,,,,
238944TP,Rainfall station,51.677024,0.235326,,,,
239258TP,Rainfall station,51.664377,0.040933,,,,
239374TP,Rainfall station,51.575345,0.041271,,,,
239579TP,Rainfall station,51.527809,0.085279,,,,
2401TH,Pyotts Bridge,51.278294,-1.045224,1.447,0.975,1.35,0.9500000000000001
240201TP,Rainfall station,51.884151,-0.454782,,,,
240350TP,Rainfall station,51.813497,-0.287465,,,,
240470TP,Rainfall station,51.775264,-0.196143,,,,
240662TP,Rainfall station,51.937159,-0.384591,,,,
2406TH,Chineham,51.296962,-1.056426,1.2730000000000001,0.227,1.745,0.258
240816TP,Rainfall station,51.873475,-0.269208,,,,
2409TH,Longbridge Mill,51.3188,-1.019874,0.88,0.156,0.55,0.183
241243TP,Rainfall station,51.950719,-0.145455,,,,
241790TP,Rainfall station,51.871184,-0.064476,,,,
241961TP,Rainfall station,51.97304,-0.025147,,,,
2419TH,Tongham,51.237339,-0.736289,1.79,0.542,1.9,0.5630000000000001
2420_w1TH,Sheepbridge Weir Mill Stream,51.381826,-0.966655,1.3599999999999999,0.016,0.75,0.157
2420_w2TH,Sheepbridge,51.381826,-0.966655,1.391,0.01,0.89,0.08
2421TH,RIVER LODDON AT SHEEPBRIDGE FLUME,51.38187,-0.966582,,,,
2423TH,Cove Hazel Avenue,51.291321,-0.774462,1.65,0.14,1.83,0.18
2425,Bodiam Avenue Relief Channel,51.832287,-2.270144,2.482,-0.157,1.5,-0.001
242534TP,Rainfall station,51.807828,-0.03963,,,,
2427TH,Farnborough,51.29741,-0.739058,1.939,0.268,1.6,0.363
242819TP,Rainfall station,51.827809,0.054118,,,,
243045TP,Rainfall station,51.965517,0.147752,,,,
243131TP,Rainfall station,51.897439,0.182296,,,,
2431TH,Blackwater Bridge,51.330889,-0.775604,2.62,0.765,2,1.046
2432TH,Mayfield Road,51.306404,-0.772253,2.5700000000000003,0.483,2,0.795
243543TP,Rainfall station,51.866534,0.247617,,,,
2435TH,Eversley,51.356292,-0.888384,1.7000000000000002,0.5,1.4,0.601
243679TP,Rainfall station,51.805204,0.20975,,,,
244027TP,Rainfall station,51.769108,0.016666,,,,
2442TH,Lodge Farm,51.263973,-0.950093,0.623,0.02,0.439,0.097
244569TP,Rainfall station,51.727077,-0.10539,,,,
245176TP,Rainfall station,51.588712,-0.112596,,,,
2451TH,Crondall Pond,51.232867,-0.864146,1.19,-0.4,0.8,-0.35000000000000003
2453TH,Redlands Lane,51.237321,-0.859739,1.63,0.51,1.1,0.6000000000000001
2455TH,Crookham Village,51.262934,-0.867562,1.4,0.343,1.3599999999999999,0.358
2458TH,Bramshill,51.32671,-0.917374,1.81,0.054,1.325,0.095
246424TP,Rainfall station,51.501145,-0.205547,,,,
246726TP,Rainfall station,51.610639,-0.312441,,,,
246847TP,Rainfall station,51.569374,-0.257694,,,,
2469_w1TH,Swallowfield,51.377564,-0.952526,1.4809999999999999,0.064,0.9500000000000001,0.189
2469_w2TH,Swallowfield Side Channel,51.377564,-0.952526,1.687,0.126,0.728,0.189
247281TP,Rainfall station,51.67255,-0.366544,,,,
247344TP,Rainfall station,51.550032,-0.415648,,,,
2473TH,Arborfield Bridge,51.403467,-0.933245,1.392,0.10200000000000001,1.192,0.278
247540TP,Rainfall station,51.479469,-0.451216,,,,
2481TH,Sindlesham Mill,51.426522,-0.898188,1.454,0.052000000000000005,0.56,1.19
248332TP,Rainfall station,51.672207,-1.952948,,,,
2486TH,Wokingham,51.40345,-0.836924,2.329,0.368,1.2,0.395
2490TH,Twyford,51.484806,-0.880942,3.43,0.233,2.255,0.504
2495TH,Marsh Lock,51.528776,-0.885703,1.633,-0.45,0.4,0.111
249744TP,Rainfall station,51.568666,-1.811661,,,,
2497TH,Hurley Lock,51.55135,-0.808421,0.516,-0.076,0.2,0.023
2499TH,Marlow Lock,51.567382,-0.769176,1.239,-0.022,0.449,0.06
2511,Windyridge Road,51.91699,-2.086745,1.461,0.17,0.618,0.22
2512,Hucclecote,51.857643,-2.180344,1.607,0.063,2,0.074
2513,Eastington,51.753386,-2.322244,2.211,0.198,0.857,0.28700000000000003
2514,Cam,51.699985,-2.360238,2.651,0.54,0.87,0.578
2515,Stoke Prior,52.306762,-2.076947,2.143,0.064,0.362,0.127
251530TP,Rainfall station,51.689762,-1.679516,,,,
251556TP,Rainfall station,51.826782,-1.862825,,,,
2516,Halesowen,52.462884,-2.061427,2.718,0.451,0.786,0.454
2531,Leominster Osbourne Place LVL,52.231172,-2.743719,,,,
2532,Leominster Upper Marsh LVL,52.233318,-2.73409,,,,
253340TP,Rainfall station,51.878717,-1.737736,,,,
253861TP,Rainfall station,51.794582,-1.562775,,,,
254336TP,Rainfall station,51.774757,-1.357157,,,,
2546TH,High Wycombe FD,51.627385,-0.748786,,,,
2548,Orleton Millbrook Way,52.300223,-2.751592,,,,
254829TP,Rainfall station,51.938474,-1.573015,,,,
2549,Slad Steanbridge Lane,51.767788,-2.179956,,,,
2550TH,Wycombe Wye,51.635466,-0.76901,0.609,-0.137,1,0
256230TP,Rainfall station,51.749085,-1.272057,,,,
256345TP,Rainfall station,52.168732,-1.235988,,,,
2569TH,Wycombe Hugh,51.635574,-0.753691,0.65,-0.375,0.255,-0.23
257039TP,Rainfall station,52.072227,-1.333928,,,,
2590TH,Bourne End Wye,51.571155,-0.708557,0.47000000000000003,0.06,0.38,0.114
259110TP,Rainfall station,51.886777,-1.156503,,,,
2601TH,Cookham Lock,51.560993,-0.694635,1.464,-0.23900000000000002,0.6000000000000001,0
260221TP,Rainfall station,51.63431,-1.505077,,,,
2602TH,Boulters Lock,51.532713,-0.699466,1.134,-0.217,0.30000000000000004,0
2603,Cambridge,51.730432,-2.362218,1.375,0.032,1.25,0.14100000000000001
2603TH,Taplow,51.529307,-0.697199,1.806,-0.026000000000000002,3.21,1
2604TH,Maidenhead,51.524146,-0.702103,3.866,1.127,3.55,2.27
2606,Deerhurst,51.969234,-2.193572,6.382,0.364,4.492,0.502
2607,Bromsberrow LVL,51.996906,-2.373352,,,,
2607TH,Bray Lock,51.509305,-0.69032,1.608,-0.11900000000000001,0.5,0.096
2608,Boreton Bridge LVL,52.65661,-2.716578,,,,
2609,Kites Hardwick,52.313513,-1.314911,2.512,-0.137,1.138,0.01
261021TP,Rainfall station,51.653876,-1.288038,,,,
2611,Stanford River LVL,52.417555,-1.126182,,,,
2613,Southam,52.260974,-1.408027,3.328,0.045,0.682,0.085
2613TH,Warfield,51.436318,-0.747222,2.9619999999999997,1.67,2.9,1.7189999999999999
2615,Bidford on Avon,52.164097,-1.857348,4.426,0.895,2.6,0.9550000000000001
2616,Kempsey Yacht Club,52.158602,-2.219449,7.489,0.47500000000000003,5,0.512
261602TP,Rainfall station,51.772802,-0.689041,,,,
2617,Chalford,51.723887,-2.130978,0.76,0.021,0.5,0.033
2618,Sandhurst,51.887415,-2.252167,5.376,0.34,3,0.515
2619,Sandhurst,51.887632,-2.251427,5.35,0.47000000000000003,2.79,0.5700000000000001
261923TP,Rainfall station,51.825767,-0.852925,,,,
2620TH,Binfield,51.433827,-0.773574,1.018,-0.088,0.8150000000000001,0.125
2621,Henley River,52.29694,-1.777373,2.426,0.369,0.546,0.387
2625,Ludlow Teme,52.36409,-2.706474,5.223,0.834,3,0.856
2626,Feckenham,52.248746,-1.994455,2.465,0.047,1.25,0.074
2627,Kenilworth,52.352672,-1.567041,2.384,0.627,1.44,0.655
2629,Lydney,51.72971,-2.534804,1.343,0.101,0.7000000000000001,0.131
2634,Burford Bridge,52.311774,-2.625404,4.775,0.52,1.5,0.531
2635,Cox's Meadow Storage Area,51.890714,-2.066105,4.4,0,0.2,0
263541TP,Rainfall station,51.741752,-1.120101,,,,
2636,Mor Brook LVL,52.509532,-2.429445,,,,
2639,Dutlas,52.394857,-3.160345,2.535,0.001,0.6000000000000001,0.024
2641,Wightwick,52.582389,-2.192192,1.334,0.188,0.406,0.197
2642,Worcester (Barbourne),52.206967,-2.235272,5.791,0.487,3.35,0.548
264254TP,Rainfall station,51.617635,-1.115281,,,,
2644,Sandhurst Horn's Ditch,51.888033,-2.253216,3.927,-0.031,1.5,0.1
2646,Stanford Bridge,52.28899,-2.418688,6.075,0.151,1.367,0.221
2648,Toddington,51.999754,-1.952083,1.744,0.29,0.53,0.31
264845TP,Rainfall station,51.532367,-1.135676,,,,
2649,Clay Coton,52.387107,-1.128914,2.4130000000000003,0.002,1.3599999999999999,0.031
2650,Arle,51.91358,-2.100884,2.976,0.109,0.662,0.343
265038TP,Rainfall station,51.543602,-1.343114,,,,
2653,Merestones Road,51.88594,-2.093645,2.75,0.04,0.32,0.08
2654,Cox's Flume,51.889602,-2.062354,2.167,0.176,1.3,0.24
265415TP,Rainfall station,51.465368,-1.197403,,,,
2655TH,Raymill Road,51.528985,-0.716959,1.467,0.13,1.3,0.161
2660,Prestbury Road,51.907359,-2.061419,0.32,0,0.05,0
2661,Witcombe,51.840037,-2.142115,1.7570000000000001,0.337,0.356,0.113
2662,Abbeymead Avenue,51.840929,-2.202237,1.289,0.046,0.265,0.081
266474TP,Rainfall station,51.412945,-1.726028,,,,
2666,Matson Place,51.85211,-2.233328,,,,
2667,Bondend Road,51.834606,-2.193371,1.55,0.183,1.5,0.216
2669,Shifnal,52.67455,-2.379329,1.194,0.096,0.24,0.116
2670,Saintbridge,51.848419,-2.217412,4.5,-0.107,0.042,-0.006
2671,Moorend Road,51.883138,-2.061691,1.737,0.27,0.49,0.30000000000000004
267661TP,Rainfall station,51.388049,-1.53073,,,,
268103TP,Rainfall station,51.53833,-1.56235,,,,
268851TP,Rainfall station,51.462587,-1.327004,,,,
2694TH,The Binghams,51.506197,-0.710164,2.038,0.748,1.71,0.776
269627TP,Rainfall station,51.345161,-1.239706,,,,
2698TH,Romney Lock,51.491873,-0.604104,1.259,-0.195,0.5,0.096
2700,Abbey Mill GATE,51.991326,-2.162837,,,,
2700TH,Windsor Park,51.485795,-0.589124,5.724,-0.079,4.25,3.22
2702TH,Bell Weir,51.438166,-0.537257,1.335,-0.067,0.30000000000000004,0.08
2703TH,Old Windsor Lock,51.463198,-0.569077,1.941,-0.404,0.34900000000000003,0.096
2705,Church Stretton,52.5405,-2.801605,0.59,-0.06,0.35000000000000003,0.02
2705SO,Rainfall station,50.759531,-0.787028,,,,
2706,Wombourne LVL,52.531154,-2.204277,,,,
270669TP,Rainfall station,51.292403,-1.035495,,,,
2711,Sedgeberrow,52.04668,-1.963362,3.602,0.23,2.1,0.29
271491TP,Rainfall station,51.330311,-0.763419,,,,
274178TP,Rainfall station,51.667285,-0.923447,,,,
274918TP,Rainfall station,51.440044,-0.766213,,,,
276036TP,Rainfall station,51.54306,-0.500973,,,,
276316TP,Rainfall station,51.718037,-0.217242,,,,
276651TP,Rainfall station,51.755019,-0.285332,,,,
276956TP,Rainfall station,51.828295,-0.446536,,,,
277407TP,Rainfall station,51.686586,-0.341445,,,,
278744TP,Rainfall station,51.690006,-0.530846,,,,
279941TP,Rainfall station,51.396984,-0.540252,,,,
2802TH,Waxwell Lane,51.602909,-0.384264,1.173,0.073,1,0.148
2803TH,"Pinner, Avenue Road",51.597129,-0.381769,1.062,-0.033,1.2,0.025
2804TH,"Pinner, Eastcote Road",51.589297,-0.381167,2.537,0.115,1.2,0.28800000000000003
2805TH,"Howletts Lane, Ruislip (Temporary)",51.58453,-0.439448,1.049,0.023,0.8200000000000001,0.023
2807TH,Ruislip,51.58043,-0.426065,1.833,0.13,1.2,0.136
280826TP,Rainfall station,51.226121,-0.774805,,,,
2808TH,Radlett,51.682315,-0.315607,1.6019999999999999,0.006,1.574,0.30000000000000004
2809TH,Mimmshall Brook,51.706896,-0.217824,1.799,0.904,1.8,0.151
2810TH,North Mymms,51.718066,-0.219123,2.351,-0.171,1.5,0.046
281186TP,Rainfall station,51.119894,-0.851916,,,,
2813TH,Markyate,51.838108,-0.461149,0.62,0,1.08,-0.018000000000000002
2814TH,London Colney,51.719476,-0.289861,2.722,0.747,1.85,0.9390000000000001
2815TH,Redbourn,51.794792,-0.393076,0.754,-0.228,0.6000000000000001,-0.138
2816TH,Redbourn,51.793132,-0.396615,0.994,-0.601,0.8,-0.247
2819TH,Colney Street,51.704664,-0.336052,0.56,0.002,0.539,0.064
2821TH,Borehamwood,51.668568,-0.287687,2.19,0.8240000000000001,1.8,0.8270000000000001
282290TP,Rainfall station,51.143947,-0.512508,,,,
282781TP,Rainfall station,51.256125,-0.566214,,,,
282947TP,Rainfall station,51.280335,-0.635718,,,,
2830,Hayes Basin,52.735118,-2.960681,4.13,0.96,0.97,0.91
2830TH,Watford,51.670654,-0.380235,1.69,0.014,0.8190000000000001,0.12
2831,Cae Howel,52.74738,-2.971662,6.265,0.893,4.779,0.933
2832,Maesbrook,52.779686,-3.037866,1.754,0.073,1.26,0.105
2833,Cae Howel,52.747481,-2.972523,,,,
283596TP,Rainfall station,51.341055,-0.599459,,,,
2841TH,"Hemel Hempstead, Bury Mill",51.757619,-0.475391,0.6950000000000001,0.013000000000000001,0.8300000000000001,0.066
2844TH,"Hemel Hempstead, Old Fishery Lane",51.744674,-0.49654,1.798,0.539,1.99,0.639
2846TH,"Hemel Hempstead, Two Waters Road",51.741057,-0.47337,1.188,0.085,0.75,0.20500000000000002
284703TP,Rainfall station,51.178085,-0.133707,,,,
2849TH,Croxley Green,51.645553,-0.436992,0.418,0.025,1.3,0.073
2852TH,Chesham,51.702625,-0.614039,0.678,0.295,0.7000000000000001,0.256
2854TH,Braybourne Close FD,51.553414,-0.479617,,,,
285630TP,Rainfall station,51.288167,-0.337196,,,,
2859TH,Rickmansworth,51.641989,-0.46125,0.368,0.037,0.39,0.059000000000000004
2862TH,Moor Lane,51.635575,-0.443997,8.23,7.26,7.94,7.37
286392TP,Rainfall station,51.400709,-0.284238,,,,
2866TH,Wraysbury Offtake FD,51.477931,-0.504592,,,,
2870TH,Denham Colne,51.56631,-0.483905,0.608,0.052000000000000005,0.56,0.11
287141TP,Rainfall station,51.362722,-0.209526,,,,
2872,Perdiswell,52.217941,-2.213213,7.276,0.779,2.4,0.874
287283TP,Rainfall station,51.449283,-0.224851,,,,
2873TH,Missenden,51.677124,-0.650282,0.459,-0.149,0.5,0.044
287451TP,Rainfall station,51.308021,-0.16144,,,,
287722TP,Rainfall station,51.344874,-0.103964,,,,
287864TP,Rainfall station,51.380452,-0.135546,,,,
287946TP,Rainfall station,51.415955,-0.162865,,,,
2879_w1TH,Denham Lodge,51.567599,-0.49112,0.465,0.002,0.6000000000000001,0.035
2879_w2TH,Denham Lodge,51.569085,-0.489873,,,,
288092TP,Rainfall station,51.4214,-0.109429,,,,
2880TH,Willowbank,51.559236,-0.484082,1.287,0.871,1.2,0.803
2881TH,"Uxbridge, Fountains Mill",51.549497,-0.482704,2.108,0.076,1.77,0.589
2882TH,"Iver, Clisbys Bridge",51.529235,-0.488741,1.4020000000000001,0.211,0.8,0.274
2883TH,Farlows Bridge,51.518153,-0.498245,1.31,0.137,1.06,0.224
2884,Burlington Weir LVL,52.695461,-2.324363,,,,
288504TP,Rainfall station,51.349274,0.009666,,,,
2885TH,West Drayton,51.500923,-0.482762,0.771,0.324,1,0.389
2886TH,"Pinner, Moss Close",51.598796,-0.376829,0.977,0.058,0.9400000000000001,0.17500000000000002
2887TH,"Ickenham, Swakeleys Road",51.565274,-0.452775,1.962,0.461,1.5,0.557
2888TH,"Uxbridge, Hercies Road",51.547893,-0.46447,3.782,0.403,1.7000000000000002,0.6910000000000001
2889TH,Uxbridge,51.533611,-0.47115,1.885,0.004,1,0.037
289102TP,Rainfall station,51.476541,-0.017866,,,,
2891TH,Yiewsley,51.509078,-0.47713,1.2,0.615,2,0.74
2892TH,Poyle,51.477287,-0.51406,2.527,1.445,1.8,0.101
2893TH,Stanwell Mill,51.466242,-0.501779,1.236,0.125,1.12,0.21
2894TH,Hythe End,51.440219,-0.535292,3.324,0.305,2.2,0.43
2895TH,Staines Moor,51.45237,-0.520468,0.889,0.022,0.53,0.055
2896TH,"Pound Mill, Staines",51.43615,-0.514892,0.847,0.014,0.84,0.059000000000000004
2897BTH,Horton Mill,51.47174,-0.53123,0.405,0.076,0.42,0.12
2898,Wildmoor Flume,52.369692,-2.062663,0.729,0,0.273,0.085
2898TH,Staines Trading Estate,51.437123,-0.512241,1.717,1.024,2,1.133
2900,Walton,52.176016,-1.583205,3.492,0.111,1.38,0.189
290007TP,Rainfall station,51.507135,0.134772,,,,
2900TH,Staines,51.431611,-0.512248,4.955,0.41400000000000003,4,2.7
2901TH,Penton Hook,51.414528,-0.499731,1.401,-0.183,0.30000000000000004,0.076
290200TP,Rainfall station,51.280521,0.134285,,,,
2902TH,Chertsey Lock,51.390617,-0.48637,1.316,-0.084,0.402,0.131
2904TH,Shepperton Lock,51.382892,-0.458071,1.121,-0.16,0.30000000000000004,0.076
290578TP,Rainfall station,51.367354,0.204407,,,,
291241TP,Rainfall station,51.367559,0.09523,,,,
291477TP,Rainfall station,51.458979,0.11237,,,,
2915,Eckington Sluice,52.062065,-2.124922,4.16,1.584,2.6,1.7890000000000001
2927TH,Trumps Green,51.399312,-0.56131,2.073,0.615,1.7000000000000002,0.706
2928TH,Chertsey Bourne,51.402823,-0.539779,2.165,13.32,1.06,0.4
2935TH,Norlands Lane,51.410875,-0.515797,1.6800000000000002,-0.02,1.1,0.30000000000000004
2936TH,Guildford Street,51.389272,-0.506291,1.783,0.278,1.5,0.30000000000000004
2937TH,Free Prae Road,51.386331,-0.501357,2.626,0.425,1.6,0.72
2941TH,Bagshot,51.361518,-0.689296,1.653,0.4,1.35,0.4
294323,Rainfall station,51.206865,0.129446,,,,
2966TH,Millbourne Bridge,51.349005,-0.602519,2.725,0.845,1.54,0.915
2976TH,Grants Bridge,51.344527,-0.604091,2.496,0.244,1.55,0.326
2989TH,Addlestone,51.374167,-0.478479,1.979,0.672,0.9,0.313
300001TP,Rainfall station,51.13979,-0.960059,,,,
300874,Rainfall station,51.373888,1.173263,,,,
3010TH,Alton High Street,51.149557,-0.976568,,,,
3012TH,Kings Pond,51.150372,-0.96697,0.562,-0.198,0.5,0
3014,Rainfall station,52.886657,-2.182004,,,,
3015,Rainfall station,52.808314,-1.74405,,,,
3015TH,Caker Stream,51.140148,-0.959908,1.343,-0.306,0.52,0
301666,Rainfall station,51.131926,0.967934,,,,
3020TH,Farnham,51.209424,-0.803594,1.27,0.023,0.97,0.046
3025,Rainfall station,52.701554,-2.119078,,,,
3026,Rainfall station,52.79928,-2.275079,,,,
3028TH,Passfield Mill,51.101202,-0.825956,1.714,0.771,1.28,0.798
3029TH,Wey (South) at Huntingford Bridge,51.14197,-0.824708,,,,
3040TH,Tilford,51.181979,-0.750222,2.086,0.099,1.4,0.139
305111,Rainfall station,51.098221,1.155768,,,,
3054TH,Westbrook Mill,51.188851,-0.617671,2.586,1.171,2.5,1.75
3056TH,Godalming RL,51.192355,-0.598504,,,,
3057,Rainfall station,52.730505,-1.571247,,,,
3057TH,River Wey at Unstead Sluice,51.19848,-0.584392,,,,
3061TH,Flash Bridge,51.121978,-0.510356,3.95,0.881,3,0.9580000000000001
3065TH,Cranleigh,51.142186,-0.480399,3.378,1.204,2.33,1.229
3069TH,Bramley,51.206896,-0.57032,3.9939999999999998,1.82,3.2,2.11
3073TH,Burpham,51.264494,-0.544883,2.089,0.768,1.059,0.841
3074TH,Albury,51.210841,-0.504627,0.339,0.03,0.293,0.054
3075TH,Send,51.287835,-0.505999,1.7610000000000001,0.791,2.724,0.805
3078TH,Hoe Stream at Woking,51.306994,-0.537112,,,,
3079TH,Shalford,51.220824,-0.569459,1.158,0.063,0.526,0.088
3080TH,Guildford,51.236036,-0.578011,3.884,0.804,2.6,1.1
3085TH,Old Woking,51.302063,-0.543308,3.94,1,3.2,1
3087TH,Woking South,51.294424,-0.57291,2.22,0.22,1.5,0.298
3089TH,Brooklands,51.346115,-0.465049,4.038,0.082,2.24,0.23800000000000002
3090TH,Weybridge,51.37248,-0.466322,1.9340000000000002,0.792,1.4,0.96
3096,Rainfall station,52.615214,-2.152813,,,,
3099,Rainfall station,52.807639,-1.889433,,,,
3100,Rainfall station,52.830414,-1.607371,,,,
3100TH,Walton,51.3919,-0.421389,4.398,-0.026000000000000002,3.6,3
3101SE,Easton,51.088829,-1.2729,1.455,0,1.1,0.511
3101TH,Sunbury  Lock,51.399708,-0.4156,0.916,-0.168,0.30000000000000004,0.055
3102TH,Molesey Lock,51.406476,-0.349558,1.029,-0.126,0.295,0.05
3110TH,Staines Ash,51.440376,-0.512035,0.367,0.023,0.5,0.048
3115TH,Knowle Green,51.430935,-0.496618,1.158,0.28200000000000003,0.85,0.371
3165,Rainfall station,52.399545,-2.050654,,,,
3167,Rainfall station,52.419334,-1.990391,,,,
3173,Rainfall station,53.017139,-1.981319,,,,
3178,Rainfall station,52.999107,-1.06794,,,,
3179,Rainfall station,52.69041,-0.920654,,,,
3185,Rainfall station,52.407451,-1.784594,,,,
3198,Rainfall station,52.530102,-1.383041,,,,
3201,Rainfall station,52.579333,-1.532878,,,,
3207TH,Ifield,51.11607,-0.222649,2.513,0.666,2.37,0.729
3209TH,Stafford Bridge,51.130927,-0.213274,2.547,0.61,2.977,0.625
3210TH,Gatwick Airport,51.144764,-0.19953,2.54,0.108,2.1,0.179
3219TH,Crawley FWS,51.102235,-0.173972,,,,
3223TH,Maidenbower,51.110238,-0.153871,2.985,0.526,2.535,0.605
3225TH,Three Bridges,51.116941,-0.162605,3.259,-1.2730000000000001,3.06,0.198
3229TH,Gatwick Link,51.160212,-0.163604,2.173,0.013000000000000001,1.6,0.075
3230TH,Horley,51.173918,-0.18323,3.444,0.003,2.42,0.189
3232TH,Peeks Brook Lane,51.161389,-0.135668,2.901,0,2.65,0.748
3235TH,Bonehurst Bridge,51.186743,-0.163694,4.465,1.21,3.7,1.3980000000000001
3240TH,Kinnersley Manor,51.201071,-0.194473,3.501,0.043000000000000003,2.14,0.123
3245TH,Redhill,51.239844,-0.166451,2.461,-0.053,2,0.493
3247TH,Salfords Bridge,51.204792,-0.1677,3.05,-0.044,2.4,0.183
3269TH,Brockham FWS,51.233732,-0.288379,,,,
3270TH,Dorking,51.238425,-0.311198,2.735,0.026000000000000002,1.6,0.091
3275,Rainfall station,52.635078,-1.944539,,,,
3280TH,Leatherhead,51.294985,-0.336089,3.735,0.632,2.61,1.006
3286TH,Downside Bridge,51.323836,-0.41269,3.46,0.877,2.7,1.012
3288,Rainfall station,52.542109,-1.696942,,,,
3290TH,Esher,51.381714,-0.377493,3.24,0.526,4.32,1.272
3307,Rainfall station,53.196879,-1.901908,,,,
3323,Rainfall station,53.025808,-1.723384,,,,
3345TH,Bourne Hall Ponds at Ewell,51.350352,-0.250864,,,,
3346,Rainfall station,52.95331,-2.040883,,,,
3346TH,King Charles Road FWS,51.386523,-0.291294,,,,
3347,Rainfall station,52.905076,-2.37685,,,,
3349,Rainfall station,52.901997,-1.860947,,,,
3350TH,Ewell,51.355767,-0.255182,0.802,0.011,1.035,0.026000000000000002
3369TH,Worcester Road,51.375687,-0.264339,2.087,0.8320000000000001,3,0.892
3380,Rainfall station,53.405172,-1.738982,,,,
3390TH,Kingston Hogsmill,51.405736,-0.302166,1.225,0.024,0.9,0.106
3401TH,Teddington Lock,51.429566,-0.318416,1.197,-0.30000000000000004,0.217,0.009000000000000001
3404,Rainfall station,53.287863,-1.579192,,,,
340767,Rainfall station,50.968137,-1.918056,,,,
3422SO,Whitchurch Main,51.22819,-1.338347,0.41100000000000003,0.001,0.35000000000000003,0.02
3423SO,Whitchurch Side,51.229107,-1.338319,0.425,0.001,0.4,0.02
3441,Rainfall station,53.134445,-1.432716,,,,
3570,Rainfall station,53.029694,-1.914215,,,,
3571,Rainfall station,53.105132,-2.154547,,,,
3572,Rainfall station,53.311933,-1.898644,,,,
3574,Rainfall station,52.897659,-1.359998,,,,
3576,Rainfall station,53.093957,-1.658736,,,,
3580,Rainfall station,53.047163,-1.641206,,,,
3588,Rainfall station,52.958861,-1.577925,,,,
3601,Rainfall station,53.231399,-0.806723,,,,
3602,Rainfall station,52.813347,-0.803365,,,,
3603,Rainfall station,53.079174,-0.867665,,,,
3604,Rainfall station,53.223303,-1.115505,,,,
3609TH,"Harrow, Village Way",51.57755,-0.380271,1.263,-0.02,1.185,0.064
3610,Rainfall station,52.655516,-1.302927,,,,
3611,Rainfall station,53.485476,-0.775492,,,,
3616,Rainfall station,53.22531,-1.701132,,,,
3625TH,"Hillingdon, Gutteridge Wood",51.547719,-0.420185,2.013,-0.004,2.3,0.078
3626TH,"Harrow, Thistledene Avenue",51.561936,-0.379325,1.431,-0.157,1.1,0.012
3629,Rainfall station,52.78808,-1.097664,,,,
3629TH,"Northholt, Yeading East",51.548783,-0.397836,0.792,-0.037,0.65,0.033
