stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
055028_TG_9302,Bishops Frome,52.137017,-2.488532,2.075,0.079,0.9,0.123
055031_TG_329,Three Elms,52.069153,-2.743532,1.292,0.001,0.40800000000000003,0.129
055040,Bromyard,52.191185,-2.501355,3.2439999999999998,0.03,2.3,0.048
055041,Ford Bridge LVL,52.191958,-2.718663,,,,
055223,Rainfall station,54.364209,-1.297407,,,,
055807_TG_320,Hereford Bridge,52.051748,-2.720173,6.111,-0.02,3.3,0.096
055811_TG_9303,Bredwardine,52.096497,-2.969481,6.991,0.093,3.8,0.27
055816_TG_319,Mordiford,52.026391,-2.629867,5.504,0.037,3.6,0.467
055817_TG_323,Ross On Wye,51.915339,-2.587573,5.1,0,3.2,0.254
055L010SG,Eardisland,52.223407,-2.851042,1.278,0,1.2,0
055R0521E_TG_326,Rainfall station,52.221039,-2.984386,,,,
056505,Rainfall station,54.073241,-1.337477,,,,
0569TH,Hannington Bridge,51.663588,-1.749677,4.49,1.968,3.81,2.07
057426,Rainfall station,54.18467,-1.901124,,,,
058461,Rainfall station,53.979278,-1.646973,,,,
059793,Rainfall station,53.966652,-1.115089,,,,
060947,Rainfall station,54.218703,-2.195488,,,,
061431,Rainfall station,54.163943,-2.152346,,,,
062046,Rainfall station,54.071438,-1.913617,,,,
0630TH,Fosse Bridge,51.799654,-1.885239,0.42,-0.002,0.28,0.017
063518,Rainfall station,53.876425,-1.532241,,,,
0655TH,BIBURY SPRINGS AT BIBURY (TROUT FARM),51.761338,-1.835711,,,,
0657TH,BIBURY SPRINGS AT BIBURY (SWAN HOTEL),51.761248,-1.835566,,,,
0660TH,Bibury,51.754535,-1.825522,0.524,0.035,0.4,0.081
0680TH,Fairford,51.709394,-1.783971,1.426,0.312,1.08,0.41500000000000004
068416,Rainfall station,,,,,,
068762,Rainfall station,54.368186,-0.974109,,,,
0701TH,St Johns Lock,51.68931,-1.678796,0.9450000000000001,-0.265,0.25,-0.011
070365,Rainfall station,54.244415,-0.80684,,,,
0710TH,Lower Stratton,51.569689,-1.735909,4.3,0.908,2.815,0.935
0712TH,Kestrel Drive,51.563545,-1.722961,3.078,0.73,1.9100000000000001,0.782
0730TH,Westmill Bridge,51.616448,-1.666745,2.556,0.317,1.85,0.372
073422,Rainfall station,54.100116,-2.164345,,,,
